Domain authority,SM_Ranking,Organic Trafic,Organic Keyword number,Paid Trafic,Paid keywords,Backlinks,Referring Domains,Pages/Visits,Average visit duration,Bounce rate
31,2.7K,114.7K,27.3K,3K,30,188.8K,3.5K,4.83,24:13:00,38.41%
81,829,18M,884.2K,1.1M,12.8K,71.4M,62.8K,3.4,7:11,47.23%
57,302,1.5M,180.6K,116.3K,1.8K,12.8M,5.2K,2.06,6:22,62.93%
77,1.6K,5.8M,2.8M,106K,2K,28.2M,176.9K,1.49,8:26,78.48%
51,2.4K,835.4K,143.6K,34.9K,437,557.1K,9.2K,2,8:28,68.96%
47,963,387.6K,26.2K,60.3K,982,828.7K,2.2K,2.18,11:58,59.86%
64,93,4.6M,368.3K,152.2K,1.9K,1.6M,6.2K,4.55,8:16,44.02%
41,1.9K,173.9K,38.8K,4.4K,295,115.4K,3.3K,2.81,9:43,61.80%
100,169,138.3M,8.9M,12.2M,160.6K,211.5M,348.6K,3.33,7:20,52.97%
41,2K,171K,39.2K,2.5K,73,795.8K,3.2K,3.41,3:48,52.68%
56,1K,365K,36.4K,18.9K,80,8.5M,14.7K,1.43,5:42,78.64%
59,300,1.5M,1.1M,15.4K,456,16M,11.8K,1.8,4:36,72.57%
60,106,4.2M,512.2K,672.2K,11K,4M,10.8K,7.98,18:36,64.90%
52,665,623.9K,67.5K,2.3K,56,179.4K,4.1K,2.22,4:46,62.43%
95,681,48.3M,30.2M,14.3K,38,1.2B,1.5M,1.92,16:24,67.83%
35,3.7K,80.6K,28.8K,623,20,178.8K,3.3K,2.42,5:53,66.69%
40,719,569.6K,94.8K,148.1K,1.5K,2.2M,6.8K,3.47,6:24,54.23%
75,80,5.2M,2M,21.2K,2,2M,6.9K,3.26,8:18,54.94%
99,107,110.3M,8.4M,1.6M,3.7K,876.3M,237.3K,2.58,6:06,57.89%
57,333,1.3M,79.2K,9.8K,100,41.2K,1.4K,3.02,9:07,52.81%
58,331,1.3M,103.7K,476.1K,3.5K,1.4M,7.1K,3.15,7:21,45.15%
63,116,3.8M,1M,144K,1.4K,3M,12.7K,3.17,7:10,66.41%
81,45,8.9M,1.2M,15,7,8.5M,14.1K,1.59,2:46,70.24%
44,1.4K,249.4K,111.7K,13.3K,337,4.2M,5.3K,4.04,10:11,42.23%
42,1.9K,177.1K,27.2K,37.8K,781,1.3M,2.6K,3.46,13:37,58.28%
55,389,1.1M,39.5K,56.7K,324,637.9K,2.1K,3.92,8:27,50.39%
72,3.3K,3.5M,3.3M,57K,3.8K,198.4M,22.1K,4.08,10:05,55.22%
